,Date,DateKey,YYYYMM,DayName,Week,Quarter,Day,DayOfWeek,IsWeekDay
0,2019-01-01,20190101,201901,Tuesday,1,1,1,1,True
1,2019-01-02,20190102,201901,Wednesday,1,1,2,2,True
2,2019-01-03,20190103,201901,Thursday,1,1,3,3,True
3,2019-01-04,20190104,201901,Friday,1,1,4,4,True
4,2019-01-05,20190105,201901,Saturday,1,1,5,5,False
5,2019-01-06,20190106,201901,Sunday,1,1,6,6,False
6,2019-01-07,20190107,201901,Monday,2,1,7,0,True
7,2019-01-08,20190108,201901,Tuesday,2,1,8,1,True
8,2019-01-09,20190109,201901,Wednesday,2,1,9,2,True
9,2019-01-10,20190110,201901,Thursday,2,1,10,3,True
10,2019-01-11,20190111,201901,Friday,2,1,11,4,True
11,2019-01-12,20190112,201901,Saturday,2,1,12,5,False
12,2019-01-13,20190113,201901,Sunday,2,1,13,6,False
13,2019-01-14,20190114,201901,Monday,3,1,14,0,True
14,2019-01-15,20190115,201901,Tuesday,3,1,15,1,True
15,2019-01-16,20190116,201901,Wednesday,3,1,16,2,True
16,2019-01-17,20190117,201901,Thursday,3,1,17,3,True
17,2019-01-18,20190118,201901,Friday,3,1,18,4,True
18,2019-01-19,20190119,201901,Saturday,3,1,19,5,False
19,2019-01-20,20190120,201901,Sunday,3,1,20,6,False
20,2019-01-21,20190121,201901,Monday,4,1,21,0,True
21,2019-01-22,20190122,201901,Tuesday,4,1,22,1,True
22,2019-01-23,20190123,201901,Wednesday,4,1,23,2,True
23,2019-01-24,20190124,201901,Thursday,4,1,24,3,True
24,2019-01-25,20190125,201901,Friday,4,1,25,4,True
25,2019-01-26,20190126,201901,Saturday,4,1,26,5,False
26,2019-01-27,20190127,201901,Sunday,4,1,27,6,False
27,2019-01-28,20190128,201901,Monday,5,1,28,0,True
28,2019-01-29,20190129,201901,Tuesday,5,1,29,1,True
29,2019-01-30,20190130,201901,Wednesday,5,1,30,2,True
30,2019-01-31,20190131,201901,Thursday,5,1,31,3,True
31,2019-02-01,20190201,201902,Friday,5,1,1,4,True
32,2019-02-02,20190202,201902,Saturday,5,1,2,5,False
33,2019-02-03,20190203,201902,Sunday,5,1,3,6,False
34,2019-02-04,20190204,201902,Monday,6,1,4,0,True
35,2019-02-05,20190205,201902,Tuesday,6,1,5,1,True
36,2019-02-06,20190206,201902,Wednesday,6,1,6,2,True
37,2019-02-07,20190207,201902,Thursday,6,1,7,3,True
38,2019-02-08,20190208,201902,Friday,6,1,8,4,True
39,2019-02-09,20190209,201902,Saturday,6,1,9,5,False
40,2019-02-10,20190210,201902,Sunday,6,1,10,6,False
41,2019-02-11,20190211,201902,Monday,7,1,11,0,True
42,2019-02-12,20190212,201902,Tuesday,7,1,12,1,True
43,2019-02-13,20190213,201902,Wednesday,7,1,13,2,True
44,2019-02-14,20190214,201902,Thursday,7,1,14,3,True
45,2019-02-15,20190215,201902,Friday,7,1,15,4,True
46,2019-02-16,20190216,201902,Saturday,7,1,16,5,False
47,2019-02-17,20190217,201902,Sunday,7,1,17,6,False
48,2019-02-18,20190218,201902,Monday,8,1,18,0,True
49,2019-02-19,20190219,201902,Tuesday,8,1,19,1,True
50,2019-02-20,20190220,201902,Wednesday,8,1,20,2,True
51,2019-02-21,20190221,201902,Thursday,8,1,21,3,True
52,2019-02-22,20190222,201902,Friday,8,1,22,4,True
53,2019-02-23,20190223,201902,Saturday,8,1,23,5,False
54,2019-02-24,20190224,201902,Sunday,8,1,24,6,False
55,2019-02-25,20190225,201902,Monday,9,1,25,0,True
56,2019-02-26,20190226,201902,Tuesday,9,1,26,1,True
57,2019-02-27,20190227,201902,Wednesday,9,1,27,2,True
58,2019-02-28,20190228,201902,Thursday,9,1,28,3,True
59,2019-03-01,20190301,201903,Friday,9,1,1,4,True
60,2019-03-02,20190302,201903,Saturday,9,1,2,5,False
61,2019-03-03,20190303,201903,Sunday,9,1,3,6,False
62,2019-03-04,20190304,201903,Monday,10,1,4,0,True
63,2019-03-05,20190305,201903,Tuesday,10,1,5,1,True
64,2019-03-06,20190306,201903,Wednesday,10,1,6,2,True
65,2019-03-07,20190307,201903,Thursday,10,1,7,3,True
66,2019-03-08,20190308,201903,Friday,10,1,8,4,True
67,2019-03-09,20190309,201903,Saturday,10,1,9,5,False
68,2019-03-10,20190310,201903,Sunday,10,1,10,6,False
69,2019-03-11,20190311,201903,Monday,11,1,11,0,True
70,2019-03-12,20190312,201903,Tuesday,11,1,12,1,True
71,2019-03-13,20190313,201903,Wednesday,11,1,13,2,True
72,2019-03-14,20190314,201903,Thursday,11,1,14,3,True
73,2019-03-15,20190315,201903,Friday,11,1,15,4,True
74,2019-03-16,20190316,201903,Saturday,11,1,16,5,False
75,2019-03-17,20190317,201903,Sunday,11,1,17,6,False
76,2019-03-18,20190318,201903,Monday,12,1,18,0,True
77,2019-03-19,20190319,201903,Tuesday,12,1,19,1,True
