Id,Inode,Jnode,LatitudIn,LongitudIn,LatitudJn,LongitudJn
1-3906,1,3906,6.29929204522571,-75.5397562646794,6.29907974393869,-75.5420421593054
2-2147,2,2147,6.29453542920691,-75.5383139136947,6.29333056217556,-75.54003036373
2-2139,2,2139,6.29453542920691,-75.5383139136947,6.2955309165337,-75.5378809939287
3-2148,3,2148,6.288899575582,-75.5386064472912,6.2866573309572,-75.5392757198154
3-2140,3,2140,6.288899575582,-75.5386064472912,6.28879536322026,-75.5385741822384
4-2113,4,2113,6.28234916117644,-75.5398020674959,6.28444505794848,-75.5390858908518
5-3984,5,3984,6.2757545140293,-75.5400303207435,6.27423319190775,-75.5416017393966
5-2150,5,2150,6.2757545140293,-75.5400303207435,6.27681174628687,-75.5375907615056
6-4064,6,4064,6.27032898995636,-75.5381082398383,6.26989279597793,-75.5359199340387
7-4066,7,4066,6.26479776317229,-75.5422067239032,6.26665367001292,-75.5352305947078
7-2115,7,2115,6.26479776317229,-75.5422067239032,6.2660502847698,-75.5430687941646
8-2141,8,2141,6.29646733397731,-75.5420858032503,6.2939035823636,-75.5414488831704
8-2151,8,2151,6.29646733397731,-75.5420858032503,6.29538700507892,-75.5407998425405
9-2152,9,2152,6.29300230855283,-75.5425432745481,6.29300483917705,-75.542017505724
9-2153,9,2153,6.29300230855283,-75.5425432745481,6.29267146467964,-75.5415367853715
10-2154,10,2154,6.29120307316881,-75.5416916075259,6.29237841958211,-75.5420194564287
11-2155,11,2155,6.28786417314112,-75.5426464311866,6.28711399873517,-75.5415501678614
11-2156,11,2156,6.28786417314112,-75.5426464311866,6.2885654711455,-75.5445217547044
11-2158,11,2158,6.28786417314112,-75.5426464311866,6.28657811721888,-75.5441367562625
12-2159,12,2159,6.28123334573385,-75.5428746074825,6.28157165548048,-75.5450656130397
13-2160,13,2160,6.30214512751985,-75.5449485306274,6.30269412261677,-75.5460993896127
13-2161,13,2161,6.30214512751985,-75.5449485306274,6.30204308238875,-75.5438911003218
14-2162,14,2162,6.30037345075166,-75.5436990807763,6.299200216205,-75.5454265956211
