IDRUTA,CODIGORUTA,CODIGODIVIPOL,DESCRIPCION,RUTAOT,MINIMOREGISTROS,LONGITUDRUTA,IDTIPORUTA,ACTIVO,MOTIVOINACTIVACION,ACEPTAINTELIGENTES,VISUALIZAR
110,10160,00000,Bello-Villa Linda,C1-016,42,10092.45,3,S,,N,S
111,10190,00000,Niquía-Terranova,C1-019,17,4005.16,3,S,,N,S
112,100100,00000,Urbana Niquía-Quitasol-Parque Bello,U1-001,30,7124.54,11,S,,N,S
113,100200,00000,Urbana Niquía-Camacol-Parque Bello,U1-002,36,8526.67,11,S,,N,S
114,100300,00000,Urbana Jardines de La Fe-Navarra-Parque Bello,U1-003,63,15007.87,11,S,,N,S
115,100400,00000,Urbana Terranova-Parque Bello,U1-004,35,8390.52,11,S,,N,S
626,71050,00000,Parque de las Aguas-Estación Niquía,C7-004 Porc,73,17414.44,2,N,Se inactiva por orden de Claudia Díaz y Juan David Muñoz, luego de no evidenciar carga de archivos durante los meses de febrero a septiembre del 2020.,N,S
627,71060,00000,Estación Niquía-Parque de las Aguas,C7-004 Porc,68,16345.05,2,N,Se inactiva por orden de Claudia Díaz y Juan David Muñoz, luego de no evidenciar carga de archivos durante los meses de febrero a septiembre del 2020.,N,S
125,4502,00000,Estrella Oriental por Autopista,,169,40613.25,1,N,Elimininada fecha: Wed Apr 29 07:53:24 COT 2020,N,N
126,4001000,00000,Comfama,R4-001,21,4996.97,12,S,,N,S
128,4003000,00000,Cristo Rey,R4-003,12,2815.33,12,N,POR SOLICITUD DE JUAN DAVID MUÑOZ, SE INACTIVA ESTA RUTA,N,S
130,4005000,00000,Los Gomez-Rosario,R4-005,28,6790.89,12,S,,N,S
131,4006000,00000,Los Gomez,R4-006,30,7293.19,12,S,,N,S
132,4007000,00000,El Ajizal,R4-007,27,6382.39,12,N,POR SOLICITUD DE JUAN DAVID MUÑOZ, SE INACTIVA ESTA RUTA,N,S
134,4002,00000,San Antonio de Prado Vergel Oriental,T4-002,158,37812.69,1,S,,N,S
135,4004,00000,San Francisco Oriental,T4-004,145,34716.63,1,S,,N,S
137,4006,00000,San Francisco Minorista,T4-006,148,35417.72,1,S,,N,S
138,4007,00000,Estrella Oriental,T4-007,134,32084.58,1,S,,N,S
139,5407,00000,Envigado-Rosellon-Poblado Derecho-Medellín,M39B,52,12544.8,1,S,,N,S
140,5501,00000,Sabaneta-Medellín-Poblado Buses,M 45,61,14689.14,1,S,,N,S
141,5502,00000,Medellín-Sabaneta-Poblado Buses,M 45,64,15275.85,1,S,,N,S
142,5503,00000,Sabaneta-Medellín-Poblado Ejecutiva-Doctora,M 45,65,15533.64,1,S,,N,S
143,5504,00000,Medellín-Sabaneta-Poblado Ejecutiva-Doctora,M 45,67,16117.84,1,S,,N,S
144,5505,00000,Sabaneta-Medellín-Vegas Ejecutiva-Doctora,M 46,61,14556.71,1,S,,N,S
145,5506,00000,Medellín-Sabaneta-Vegas Ejecutiva-Doctora,M 46,67,16181.93,1,S,,N,S
146,5507,00000,Sabaneta-Medellín-Vegas-CES,M 46,61,14603.81,1,S,,N,S
147,5901,00000,Envigado-San Gabriel,5901,107,25681.16,1,S,,N,S
148,5902,00000,Envigado-Guayabal,5902,70,16687.05,1,S,,N,S
149,5903,00000,Estrella Sabaneta Bodegas,AZUCi,65,15492.83,1,N,Elimininada fecha: Wed Apr 29 07:45:59 COT 2020,N,N
150,5904,00000,Estrella Sabaneta,AZUCi,63,15142.21,1,S,,N,S
151,5301,00000,Rosellon-Parque,M30A,105,25189.49,1,S,,N,S
152,5302,00000,Rosellon-Sebastiana,M30B,100,24022.44,1,S,,N,S
153,5303,00000,Señorial,M33,118,28331.24,1,S,,N,S
154,5304,00000,Gazcuña,M41-1,97,23193.64,1,S,,N,S
155,5305,00000,Gazcuña,M41-2,97,23354.96,1,S,,N,S
156,5306,00000,Rosellon,C25,95,22864.16,1,S,,N,S
221,5401,00000,Envigado-Dorado la Paz-Medellín,M36,65,15640.94,1,S,,N,S
222,5402,00000,Medellín-Envigado-Dorado la Paz,M36,68,16420.44,1,S,,N,S
159,5403,00000,Envigado-Dorado la Paz-Las Vegas-Medellín,M36A,59,14107.9,1,S,,N,S
160,5404,00000,Medellín-Envigado-Dorado la Paz-Las Vegas,M36A,61,14540.08,1,S,,N,S
161,5405,00000,Envigado-Rosellon-Poblado-Medellín,M39A,51,12235.98,1,S,,N,S
528,111255,05001,PLAYÓN DE LOS COMUNEROS - ORIENTAL,024,77,18490.63,8,S,,S,S
529,121265,05001,ARANJUEZ ANILLO DERECHA,041 D,60,14439.45,8,S,,S,S
531,111285,05001,ARANJUEZ INTERMEDIA,042,78,18712.96,8,S,,S,S
607,112761,05001,143 La Colinita,143 La Colinita,102,24490.08,4,N,Cambio de entidad que opera.,N,S
608,112772,05001,142i Metro Aguacatala,142i Metro Aguacatala,28,6657.71,6,N,Cambio de entidad que opera.,N,S
609,112782,05001,143i Aeropuerto Terminal Sur-Mota-Metro,143i ,27,6393.01,6,N,Cambio de entidad que la opera.,N,S
303,131485,05001,LA ESPERANZA,056,74,17833.09,8,S,,S,S
304,121495,05001,BELLO ORIENTE,057,114,27337.09,8,S,,S,S
305,131505,05001,SANTO DOMINGO,060,61,14566.78,8,S,,S,S
306,110065,05001,SAN CRISTOBAL DOÑA MARIA,255,103,24693.39,4,S,,S,S
307,110075,05001,LAS FLORES-MORAVIA-CENTRO,255A,141,33948.19,4,S,,S,S
308,110085,05001,NUEVO OCCIDENTE-LASFLORES,255A NUEVO OCCIDENTE,126,30168.39,4,S,,S,S
309,110095,05001,NUEVO OCCIDENTE EL TIROL,255A T NOC TIROL,122,29168.99,4,S,,S,S
310,110105,05001,SAN CRISTOBAL-CONEXIÓN VIAL,255D,98,23474.63,4,S,,S,S
162,5406,00000,Medellín-Envigado-Rosellon-Poblado,M39A,56,13556.67,1,S,,N,S
163,72030,00000,Barbosa-Estación Niquía-Ruta 2,C7-002 Trans,130,31286.53,2,S,,N,S
164,72040,00000,Barbosa-Estación Niquía-Ruta 2,C7-002 Trans,129,30940.86,2,S,,N,S
165,73050,00000,Girardota-Niquía Ruta 1b,C7-005,59,14274.58,2,S,,N,S
166,73060,00000,Niquía-Girardota Ruta 1b,C7-005,68,16403.14,2,S,,N,S
167,73070,00000,Girardota-Niquía Ruta 2b,C7-006,59,14232.68,2,S,,N,S
168,73080,00000,Niquía-Girardota Ruta 2b,C7-006,70,16756.04,2,S,,N,S
169,74090,00000,Candó-Niquia,C7-009,80,19117.71,2,S,,N,S
665,112965,05001,ÉXITO-CORAZON,201 TRAVESIAS,90,21504.38,8,S,,S,S
676,100500,00000,Circular 2000-1,U1-005,100,24112.51,11,S,,N,S
170,74100,00000,Copacabana Piscinas-Niquia,C7-010,63,15108.84,2,S,,N,S
171,74110,00000,Copacabana San Juan-Niquia,C7-011,67,16018.35,2,S,,N,S
172,74120,00000,Niquía-Copacabana,C7-012,51,12319.93,2,S,,N,S
173,7101,00000,Barbosa-Medellín-Ruta 1,M28B,173,41407.82,1,S,,N,S
174,7102,00000,Medellin-Barbosa-Ruta 1,M28B,177,42451.48,1,S,,N,S
175,7103,00000,Barbosa-Medellín-Ruta 2-Doble Calzada,M28B,177,42585.91,1,S,,N,S
176,7201,00000,Barbosa-Medellín-Ruta 1,M29B,173,41407.82,1,S,,N,S
177,7202,00000,Medellin-Barbosa-Ruta 1,M29BP,177,42451.48,1,S,,N,S
178,7203,00000,Barbosa-Medellín-Ruta 2-Doble Calzada,M29B,177,42585.91,1,S,,N,S
179,7305,00000,Girardota-Medellín Ruta 1,M26,107,25580,1,S,,N,S
180,7306,00000,Medellín-Girardota Ruta 1,M26,118,28275.41,1,S,,N,S
181,7407,00000,Copacabana Autopista Microbús,C11,166,39957.74,1,S,,N,S
182,7408,00000,Copacabana Machado Microbús,C11A,154,37044.16,1,S,,N,S
183,7409,00000,Copacabana Autopista Bus,M22,158,37873.68,1,S,,N,S
