"IDVEHICULO","PLACAVEHICULO","MODELO","CAPPASAJEROS","CAPPASAJEROSPIE","CAPPASAJEROSSENTADOS","IDEMPRESA","NOMBRES","IDENTIDADOPERA"
770,"TPX836",2007,50,20,30,10,"COOTRASANA",1
774,"TSF343",2008,55,22,33,10,"COOTRASANA",1
775,"TSZ407",2013,51,20,31,10,"COOTRASANA",1
776,"TSZ840",2013,50,20,30,10,"COOTRASANA",1
777,"TTN345",2014,37,15,22,10,"COOTRASANA",1
778,"TTN358",2014,37,15,22,10,"COOTRASANA",1
779,"WDX033",2014,37,15,22,10,"COOTRASANA",1
780,"WDX374",2014,37,15,22,10,"COOTRASANA",1
781,"WDX940",2014,37,15,22,10,"COOTRASANA",1
782,"WDX941",2014,37,15,22,10,"COOTRASANA",1
783,"WDX945",2014,37,15,22,10,"COOTRASANA",1
784,"WDX954",2014,37,15,22,10,"COOTRASANA",1
785,"WDX978",2014,55,22,33,10,"COOTRASANA",1
786,"WDX979",2014,55,22,33,10,"COOTRASANA",1
787,"WDX980",2014,55,22,33,10,"COOTRASANA",1
789,"WDY290",2015,55,22,33,10,"COOTRASANA",1
790,"WDY323",2015,37,15,22,10,"COOTRASANA",1
791,"WDY375",2015,37,15,22,10,"COOTRASANA",1
792,"WDY494",2015,40,16,24,10,"COOTRASANA",1
793,"WDY499",2015,37,15,22,10,"COOTRASANA",1
794,"WDY550",2015,40,16,24,10,"COOTRASANA",1
795,"WDY551",2015,40,16,24,10,"COOTRASANA",1
796,"WDY680",2015,40,16,24,10,"COOTRASANA",1
797,"WDY705",2015,37,15,22,10,"COOTRASANA",1
798,"WDY734",2015,40,16,24,10,"COOTRASANA",1
799,"WDY889",2015,37,15,22,10,"COOTRASANA",1
800,"WDY927",2015,55,22,33,10,"COOTRASANA",1
801,"WDY928",2015,55,22,33,10,"COOTRASANA",1
802,"WDY962",2015,37,15,22,10,"COOTRASANA",1
803,"WDY963",2015,37,15,22,10,"COOTRASANA",1
804,"WDZ060",2015,37,15,22,10,"COOTRASANA",1
805,"WDZ177",2015,50,20,30,10,"COOTRASANA",1
806,"WDZ584",2015,40,16,24,10,"COOTRASANA",1
807,"WDZ630",2015,50,20,30,10,"COOTRASANA",1
808,"WDZ659",2015,40,16,24,10,"COOTRASANA",1
810,"WMP761",2016,60,24,36,10,"COOTRASANA",1
811,"WMP762",2016,60,24,36,10,"COOTRASANA",1
812,"WMP763",2016,60,24,36,10,"COOTRASANA",1
813,"WMP764",2016,60,24,36,10,"COOTRASANA",1
814,"WMQ096",2016,60,24,36,10,"COOTRASANA",1
815,"WMQ571",2017,61,24,37,10,"COOTRASANA",1
816,"WMQ667",2017,61,24,37,10,"COOTRASANA",1
817,"WMQ668",2017,61,24,37,10,"COOTRASANA",1
818,"WMQ669",2017,61,24,37,10,"COOTRASANA",1
819,"WMQ900",2017,61,24,37,10,"COOTRASANA",1
827,"SMG031",2008,50,20,30,4,"EXPRESO GIRARDOTA",1
828,"SMG036",2008,50,20,30,4,"EXPRESO GIRARDOTA",1
830,"SMG048",2008,50,20,30,4,"EXPRESO GIRARDOTA",1
832,"SMG055",2009,45,18,27,4,"EXPRESO GIRARDOTA",1
833,"SMG057",2008,49,20,29,4,"EXPRESO GIRARDOTA",1
834,"SMG061",2009,43,17,26,4,"EXPRESO GIRARDOTA",1
835,"SMG065",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
836,"SMG068",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
837,"SMG070",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
838,"SMG071",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
839,"SMG072",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
840,"SMG073",2009,56,22,34,4,"EXPRESO GIRARDOTA",1
841,"SMG075",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
842,"SMG080",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
843,"SMG081",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
844,"SMG082",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
845,"SMG083",2009,51,20,31,4,"EXPRESO GIRARDOTA",1
846,"SMG089",2009,53,21,32,4,"EXPRESO GIRARDOTA",1
847,"SMG091",2009,55,22,33,4,"EXPRESO GIRARDOTA",1
848,"SMG093",2010,52,21,31,4,"EXPRESO GIRARDOTA",1
849,"SMG094",2010,51,20,31,4,"EXPRESO GIRARDOTA",1
850,"SMG096",2010,56,22,34,4,"EXPRESO GIRARDOTA",1
851,"SMG098",2010,47,19,28,4,"EXPRESO GIRARDOTA",1
852,"SMG103",2010,45,18,27,4,"EXPRESO GIRARDOTA",1
