,Forecast,Municipio,Observed,DATEHOUR,Lower,Upper
0,59.47,BARBOSA,24.0,2020-05-10 05:00:00,0.0,205.65170301878408
1,106.627,BARBOSA,14.0,2020-05-10 06:00:00,0.0,252.80870301878406
2,26.442,BARBOSA,19.0,2020-05-10 07:00:00,0.0,172.62370301878408
3,34.203,BARBOSA,35.0,2020-05-10 08:00:00,0.0,180.38470301878408
4,63.32,BARBOSA,123.0,2020-05-10 09:00:00,0.0,209.50170301878407
5,143.567,BARBOSA,108.0,2020-05-10 10:00:00,0.0,289.7487030187841
6,144.243,BARBOSA,143.0,2020-05-10 11:00:00,0.0,290.42470301878404
7,170.82,BARBOSA,72.0,2020-05-10 12:00:00,24.638296981215916,317.00170301878404
8,208.744,BARBOSA,0.0,2020-05-10 13:00:00,62.56229698121592,354.9257030187841
9,55.814,BARBOSA,143.0,2020-05-10 14:00:00,0.0,201.99570301878407
10,103.792,BARBOSA,258.0,2020-05-10 15:00:00,0.0,249.97370301878408
11,233.518,BARBOSA,20.0,2020-05-10 16:00:00,87.33629698121592,379.6997030187841
12,104.942,BARBOSA,308.0,2020-05-10 17:00:00,0.0,251.12370301878406
13,166.294,BARBOSA,207.0,2020-05-10 18:00:00,20.112296981215934,312.4757030187841
14,179.535,BARBOSA,258.0,2020-05-10 19:00:00,33.35329698121592,325.7167030187841
15,154.166,BARBOSA,2.0,2020-05-10 20:00:00,7.98429698121592,300.34770301878405
16,171.183,BELLO,43.0,2020-05-10 04:00:00,0.0,850.1315479818138
17,445.1,BELLO,377.0,2020-05-10 05:00:00,0.0,1124.048547981814
18,640.926,BELLO,668.0,2020-05-10 06:00:00,0.0,1319.874547981814
19,530.528,BELLO,551.0,2020-05-10 07:00:00,0.0,1209.4765479818138
20,526.313,BELLO,563.0,2020-05-10 08:00:00,0.0,1205.2615479818137
21,518.835,BELLO,844.0,2020-05-10 09:00:00,0.0,1197.7835479818139
22,778.556,BELLO,877.0,2020-05-10 10:00:00,99.60745201818622,1457.5045479818139
23,893.548,BELLO,724.0,2020-05-10 11:00:00,214.59945201818618,1572.4965479818138
24,839.83,BELLO,702.0,2020-05-10 12:00:00,160.88145201818622,1518.778547981814
25,621.007,BELLO,670.0,2020-05-10 13:00:00,0.0,1299.9555479818137
26,566.823,BELLO,641.0,2020-05-10 14:00:00,0.0,1245.771547981814
27,574.714,BELLO,941.0,2020-05-10 15:00:00,0.0,1253.662547981814
