DATEKEY,PAXUP,FLAG,CODIGORUTA
20191101,4040.0,0,1001
20191102,3179.0,0,1001
20191103,1907.0,0,1001
20191104,1386.0,0,1001
20191105,2671.0,0,1001
20191106,2520.0,0,1001
20191107,2682.0,0,1001
20191108,2429.0,0,1001
20191109,2825.0,0,1001
20191110,1389.0,0,1001
20191111,1364.0,0,1001
20191112,4574.0,0,1001
20191113,3350.0,0,1001
20191114,3089.0,0,1001
20191115,4594.0,0,1001
20191116,2318.0,0,1001
20191117,1113.0,0,1001
20191118,2882.0,0,1001
20191119,2510.0,0,1001
20191120,3060.0,0,1001
20191121,1721.0,0,1001
20191122,2860.0,0,1001
20191123,2912.0,0,1001
20191124,4592.0,0,1001
20191125,4218.0,0,1001
20191126,4842.0,0,1001
20191127,4381.0,0,1001
20191128,4621.0,0,1001
20191129,3887.0,0,1001
20191130,3377.0,0,1001
20191201,1537.0,0,1001
20191202,3653.0,0,1001
20191203,2713.0,0,1001
20191204,2477.0,0,1001
20191205,2026.0,0,1001
20191206,2152.0,0,1001
20191207,1596.0,0,1001
20191208,992.0,0,1001
20191209,1756.0,0,1001
20191210,1819.0,0,1001
20191211,1095.0,0,1001
20191212,878.0,0,1001
20191213,1231.0,0,1001
20191214,1541.0,0,1001
20191215,770.0,0,1001
20191216,3110.0,0,1001
20191217,2372.0,0,1001
20191218,2204.0,0,1001
20191219,2064.0,0,1001
20191220,1545.0,0,1001
20191221,202.0,0,1001
20191222,1362.1,0,1001
20191223,951.0,0,1001
20191224,1239.0,0,1001
20191225,694.0,0,1001
20191226,1320.0,0,1001
20191227,1833.0,0,1001
20191228,1408.0,0,1001
20191229,983.0,0,1001
20191230,1061.0,0,1001
20191231,789.0,0,1001
20200101,428.0,0,1001
20200102,1787.0,0,1001
20200103,1428.0,0,1001
20200104,1201.0,0,1001
20200105,801.0,0,1001
20200106,904.0,0,1001
20200107,1847.0,0,1001
20200108,2612.0,0,1001
20200109,2090.0,0,1001
20200110,1359.0,0,1001
20200111,558.0,0,1001
20200112,158.0,0,1001
20200113,560.0,0,1001
20200114,1397.2699999999998,0,1001
20200115,1503.0,0,1001
20200116,1767.0,0,1001
20200117,998.0,0,1001
20200118,698.0,0,1001
20200119,552.0,0,1001
20200120,911.0,0,1001
20200121,818.0,0,1001
20200122,716.0,0,1001
20200123,1241.0,0,1001
20200124,427.0,0,1001
20200125,487.0,0,1001
20200126,513.0,0,1001
20200127,508.0,0,1001
20200128,1180.0,0,1001
20200129,343.0,0,1001
20200130,790.0,0,1001
20200131,892.0,0,1001
20200201,415.0,0,1001
20200202,751.0,0,1001
20200203,1753.0,0,1001
20200204,1567.0,0,1001
20200205,1390.0,0,1001
20200206,1304.0,0,1001
20200207,1076.0,0,1001
20200208,1517.0,0,1001
20200209,981.0,0,1001
20200210,987.0,0,1001
20200211,1366.0,0,1001
20200212,1188.0,0,1001
20200213,2002.0,0,1001
20200214,1958.0,0,1001
20200215,890.0,0,1001
20200216,493.0,0,1001
20200217,836.0,0,1001
20200218,788.0,0,1001
20200219,1139.0,0,1001
20200220,432.0,0,1001
20200221,449.0,0,1001
20200222,517.0,0,1001
20200223,511.0,0,1001
20200224,270.0,0,1001
20200225,519.0,0,1001
20200226,375.0,0,1001
20200227,1089.0,0,1001
20200228,370.0,0,1001
20200229,369.0,0,1001
20200301,1205.7937499999998,0,1001
20200302,523.0,0,1001
20200303,1073.0,0,1001
20200304,1301.0,0,1001
20200305,1952.0,0,1001
20200306,1132.0,0,1001
20200307,446.0,0,1001
20200308,805.0,0,1001
20200309,1031.0,0,1001
20200310,968.0,0,1001
20200311,2297.0,0,1001
20200312,1572.0,0,1001
20200313,1293.0,0,1001
20200314,1792.0,0,1001
20200315,797.0,0,1001
20200316,1401.0,0,1001
20200317,872.0,0,1001
20200318,886.0,0,1001
20200319,648.0,0,1001
20200320,583.0,0,1001
20200321,103.0,0,1001
20200322,240.0,0,1001
20200323,118.0,0,1001
20200324,373.0,0,1001
20200325,437.5724278477121,1,1001
20200326,279.1184897664427,1,1001
20200327,34.610910211064834,1,1001
20200328,46.11793111000668,1,1001
20200329,182.30901253982273,1,1001
20200330,385.9529902297854,1,1001
20200331,427.91996439401584,1,1001
20200401,551.3024963296068,1,1001
20200402,358.6734835165738,1,1001
20200403,85.67745869613574,1,1001
20200404,46.11793111000668,1,1001
20200405,189.8310580103491,1,1001
20200406,376.9726559954712,1,1001
20200407,405.1831967164812,1,1001
20200408,517.0983242860069,1,1001
20200409,314.91004864241387,1,1001
20200410,33.94539352459647,1,1001
20200411,46.11793111000668,1,1001
20200412,125.91896536529958,1,1001
20200413,308.4446089987066,1,1001
20200414,332.80727626436965,1,1001
20200415,441.51480492796986,1,1001
20200416,236.65266517198043,1,1001
20200417,46.11793111000668,1,1001
20200418,46.11793111000668,1,1001
20200419,42.025710815528754,1,1001
20200420,223.26020523541553,1,1001
20200421,246.54656662648722,1,1001
20200422,354.35688347014485,1,1001
20200423,148.74682523777406,1,1001
20191101,1575.0,0,1002
20191102,2589.0,0,1002
20191103,2652.0,0,1002
20191104,1218.0,0,1002
20191105,2930.0,0,1002
20191106,1986.0,0,1002
20191107,2743.0,0,1002
20191108,2561.0,0,1002
20191109,1781.0,0,1002
20191110,1123.0,0,1002
20191111,658.0,0,1002
20191112,2217.0,0,1002
20191113,1770.0,0,1002
20191114,1690.0,0,1002
20191115,1238.0,0,1002
20191116,1792.0,0,1002
20191117,1154.0,0,1002
20191118,2376.0,0,1002
20191119,2046.0,0,1002
20191120,1992.0,0,1002
20191121,1121.0,0,1002
20191122,3330.0,0,1002
20191123,1781.0,0,1002
20191124,1003.0,0,1002
20191125,1114.0,0,1002
20191126,2638.0,0,1002
20191127,2406.0,0,1002
20191128,1715.0,0,1002
20191129,1769.0,0,1002
20191130,1379.0,0,1002
20191201,1547.0,0,1002
20191202,2199.0,0,1002
20191203,1508.0,0,1002
20191204,1826.0,0,1002
20191205,1806.0,0,1002
20191206,1302.0,0,1002
20191207,1222.0,0,1002
20191208,1125.0,0,1002
20191209,1832.0,0,1002
20191210,1803.0,0,1002
20191211,1203.0,0,1002
20191212,947.0,0,1002
20191213,1611.0,0,1002
20191214,1781.0,0,1002
20191215,1468.0,0,1002
20191216,2523.0,0,1002
20191217,2077.0,0,1002
20191218,2343.0,0,1002
20191219,1648.0,0,1002
20191220,1524.0,0,1002
20191221,240.0,0,1002
20191222,1141.8999999999999,0,1002
20191223,1543.0,0,1002
20191224,1239.0,0,1002
20191225,799.0,0,1002
20191226,2236.0,0,1002
20191227,1711.0,0,1002
20191228,1877.0,0,1002
20191229,1385.0,0,1002
20191230,1265.0,0,1002
20191231,932.0,0,1002
20200101,518.0,0,1002
20200102,695.0,0,1002
20200103,1155.0,0,1002
20200104,1411.0,0,1002
20200105,2034.0,0,1002
20200106,431.0,0,1002
20200107,2059.0,0,1002
20200108,1618.0,0,1002
20200109,1736.0,0,1002
20200110,1445.0,0,1002
20200111,1205.0,0,1002
20200112,634.0,0,1002
20200113,620.0,0,1002
20200114,1228.78,0,1002
20200115,40.0,0,1002
20200116,469.0,0,1002
20200117,1425.0,0,1002
20200118,806.0,0,1002
20200119,513.0,0,1002
20200120,724.0,0,1002
20200121,614.0,0,1002
20200122,1117.0,0,1002
20200123,734.0,0,1002
20200124,479.0,0,1002
20200125,689.0,0,1002
20200126,274.0,0,1002
20200127,931.0,0,1002
20200128,1280.0,0,1002
20200129,1332.0,0,1002
20200130,555.0,0,1002
20200131,888.0,0,1002
20200201,476.0,0,1002
20200202,191.0,0,1002
20200203,1401.0,0,1002
20200204,1291.0,0,1002
20200205,928.0,0,1002
20200206,864.0,0,1002
20200207,854.0,0,1002
20200208,795.0,0,1002
20200209,591.0,0,1002
20200210,1013.0,0,1002
20200211,906.0,0,1002
20200212,1132.0,0,1002
20200213,1096.0,0,1002
20200214,1279.0,0,1002
20200215,1414.0,0,1002
20200216,573.0,0,1002
20200217,740.0,0,1002
20200218,1042.0,0,1002
20200219,889.0,0,1002
20200220,711.0,0,1002
20200221,865.0,0,1002
20200222,892.0,0,1002
20200223,1226.0,0,1002
20200224,1422.0,0,1002
20200225,735.0,0,1002
